iter	Passed	Remaining
0	1055	315615
1	2076	309411
2	3102	307135
3	4140	306379
4	5188	306140
5	6232	305381
6	7316	306252
7	8367	305399
8	9427	304825
9	10479	303913
10	11545	303330
11	12615	302760
12	13670	301810
13	14738	301093
14	15840	300970
15	16953	300931
16	18102	301347
17	19169	300321
18	20231	299210
19	21305	298272
20	22367	297168
21	23465	296515
22	24549	295657
23	25606	294469
24	26663	293296
25	27698	291895
26	28779	290991
27	29832	289797
28	30885	288615
29	31967	287704
30	33088	287120
31	34235	286724
32	35393	286363
33	36546	285921
34	37692	285383
35	38834	284783
36	40008	284387
37	41163	283814
38	42298	283073
39	43443	282380
40	44606	281783
41	45766	281137
42	46916	280408
43	48058	279611
44	49223	278934
45	50399	278291
46	51579	277648
47	52744	276909
48	53907	276137
49	55084	275424
50	56295	274852
51	57493	274199
52	58701	273570
53	59910	272925
54	61163	272453
55	62500	272325
56	63732	271702
57	65059	271455
58	66259	270653
59	67452	269811
60	68705	269191
61	69969	268593
62	71140	267624
63	72327	266708
64	73537	265867
65	74704	264862
66	75920	264023
67	77097	263037
68	78255	261985
69	79418	260946
70	80567	259860
71	81754	258888
72	82939	257906
73	84097	256839
74	85292	255876
75	86462	254838
76	87644	253826
77	88849	252880
78	89997	251766
79	91195	250786
80	92361	249717
81	93510	248602
82	94698	247585
83	95882	246555
84	97066	245521
85	98225	244422
86	99420	243407
87	100613	242385
88	101781	241302
89	102973	240270
90	104144	239189
91	105334	238146
92	106493	237033
93	107652	235918
94	108833	234850
95	109989	233728
96	111169	232653
97	112382	231645
98	113548	230538
99	114708	229417
100	115901	228361
101	117082	227277
102	118262	226191
103	119415	225052
104	120650	224064
105	122017	223314
106	123218	222254
107	124424	221199
108	125704	220271
109	127032	219419
110	128247	218366
111	129450	217292
112	130669	216241
113	131961	215305
114	133121	214152
115	134331	213078
116	135514	211957
117	136755	210928
118	137950	209824
119	139146	208719
120	140307	207562
121	141489	206436
122	142660	205292
123	143860	204189
124	145068	203096
125	146304	202039
126	147453	200861
127	148615	199702
128	149801	198573
129	151037	197510
130	152237	196398
131	153438	195284
132	154623	194150
133	155786	192989
134	156956	191835
135	158167	190731
136	159355	189598
137	160554	188477
138	161736	187335
139	162936	186213
140	164112	185062
141	165309	183935
142	166496	182797
143	167686	181660
144	168877	180524
145	170069	179388
146	171287	178279
147	172501	177163
148	173662	175993
149	174886	174886
150	176044	173712
151	177222	172558
152	178412	171415
153	179586	170257
154	180789	169125
155	181974	167976
156	183229	166890
157	184615	165919
158	185842	164803
159	187047	163666
160	188223	162503
161	189445	161379
162	190640	160231
163	191829	159078
164	193042	157944
165	194245	156800
166	195455	155661
167	196614	154482
168	197888	153393
169	199151	152292
170	200393	151174
171	201661	150073
172	202842	148907
173	204051	147761
174	205255	146611
175	206496	145486
176	207681	144321
177	209020	143260
178	210203	142092
179	211446	140964
180	212671	139822
181	213841	138644
182	215044	137487
183	216213	136308
184	217402	135142
185	218578	133967
186	219715	132769
187	220904	131602
188	222068	130421
189	223229	129237
190	224399	128060
191	225660	126934
192	226945	125819
193	228145	124656
194	229342	123492
195	230539	122326
196	231737	121162
197	232908	119983
198	234104	118816
199	235327	117663
200	236502	116486
201	237670	115305
202	238819	114115
203	239989	112936
204	241151	111752
205	242332	110578
206	243549	109420
207	244791	108273
208	245971	107097
209	247184	105936
210	248381	104767
211	249598	103607
212	250816	102446
213	251954	101252
214	253216	100108
215	254418	98940
216	255579	97756
217	256749	96575
218	257899	95387
219	259135	94231
220	260323	93056
221	261484	91872
222	262704	90709
223	264009	89574
224	265267	88422
225	266481	87254
226	267680	86082
227	268842	84897
228	270072	83734
229	271245	82552
230	272407	81368
231	273596	80192
232	274817	79024
233	276086	77870
234	277357	76715
235	278595	75551
236	279804	74378
237	281082	73223
238	282295	72050
239	283485	70871
240	284776	69716
241	285965	68537
242	287106	67345
243	288303	66168
244	289520	64994
245	290725	63817
246	291958	62646
247	293139	61464
248	294355	60289
249	295576	59115
250	296790	57939
251	297942	56750
252	299183	55579
253	300374	54398
254	301578	53219
255	302707	52027
256	303873	50842
257	305031	49656
258	306214	48474
259	307403	47292
260	308620	46115
261	309786	44930
262	310930	43743
263	312073	42555
264	313300	41379
265	314469	40195
266	315633	39010
267	316855	37833
268	317979	36644
269	319147	35460
270	320359	34282
271	321564	33102
272	322751	31920
273	324067	30750
274	325456	29586
275	326698	28408
276	328120	27244
277	329331	26062
278	330789	24898
279	332072	23719
280	333410	22543
281	334746	21366
282	335938	20180
283	337074	18990
284	338369	17808
285	339799	16633
286	341280	15458
287	342845	14285
288	344306	13105
289	345704	11920
290	346964	10730
291	348223	9540
292	349511	8350
293	350814	7159
294	352238	5970
295	353631	4778
296	355004	3585
297	356260	2391
298	357494	1195
299	358721	0
