단어,빈도
18일,1807
15일,1851
7월,2398
8월,1981
22일,1902
20명,751
10명,1240
70명,131
36종류,10
10시,1028
1시간,606
5000원,122
3만,2047
3세,46
15년,351
32년,120
123만,17
6년,310
2018년,1166
100만,1444
31일,1120
2년,2846
1979년,28
1995년,62
2003년,78
2007년,184
2010년,318
2013년,364
17년,111
150여,135
47명,137
6명,1110
90대,27
1년,3348
2차관,100
2015년,543
2017년,859
37년,12
9급,17
6월,2485
12월,2359
17일,1708
1월,1542
3월,2350
9월,2141
KB국민카드,8
14만,263
3244대,6
19만,121
8791대,6
15개,216
75곳,40
20일,1815
3번,257
10만,1490
코로나19,14479
3일,2320
40명,303
28명,265
2명,2091
1명,2401
14명,644
4명,1339
22명,340
5명,1257
3개,1772
17명,397
38명,115
9명,762
30명,472
19명,344
3명,1894
62명,75
16명,555
12명,690
SRC재활병원,43
60명,155
18명,324
23명,334
5000만,483
4개,1506
14일,1888
7억,783
4억,1002
3억,1330
10억,1013
5억,1175
2억,1469
6시,1172
8시,551
28일,1922
1682명,10
481명,7
266명,2
134명,16
115명,17
91명,79
85명,57
73명,81
533명,7
149명,15
69명,42
68명,48
64명,91
50명,298
3년,2800
고양4,2
2122명,1
20여명,95
1분,177
초473,6
아트라스BX,23
2020년,1334
초004,3
2019년,1531
초724,2
서한GP,24
초987,2
13명,619
53초,5
5대,183
23일,1856
30여,251
13일,1835
5일,1712
5만,1174
9시,1235
1층,564
2층,542
6억,831
12만,232
000평,14
2030년,721
12곳,229
12년,179
2.5배,38
2008년,177
45억,101
7곳,451
2021년,1380
8일,1885
238억,22
3건,257
000만,399
30일,1832
11월,1874
9만,465
867명,6
A캐피탈,16
540건,17
700만,211
185건,18
1만,4477
2034년,60
2~3년,106
21일,1577
FKI타워,26
7년,498
2026년,1169
IT인재들,10
뉴스1,199
5년,1906
24개,69
40개,119
12개,379
2개,891
10개,508
1004억,2
2회,331
11일,1458
POS기기,6
200만,569
1일,1786
147억,33
2016년,690
100개,44
254만,30
80개,34
1천만,199
A씨,9223
19조,17
4980억,1
2조,479
3406억,1
1조,870
5578억,1
e쿠폰서비스,1
3분기,130
7~9월,22
56조,10
7종,40
98억,28
600명,139
29만,101
38만,64
4200만,43
3500만,75
1학년,66
SK하이닉스,4057
1순위,232
19세,425
6개월,1070
1단지,197
28층,155
14개,317
681가구,17
453가구,42
247가구,42
560가구,44
269가구,43
147가구,41
5가구,86
6기,130
1번지,295
5월,1981
25일,1732
5개,1177
552대,11
300대,36
26일,1828
6~9시,25
4~7시,14
1852대,11
400여명,45
2050년,104
12시,327
3360억,19
3조,378
3256억,11
104억,33
4461억,10
648억,12
60억,96
4일,1776
6000만,249
800만,138
3천,725
9개월,195
80만,147
2022년,1547
70만,156
19개월,5
5천,635
1천,2232
6천,393
7천,335
11개월,44
4천,845
8조,42
19일,1756
3주,157
4월,2151
12일,1756
7시,601
1420대,8
35초,11
45초,8
110초,6
130초,2
1998년,56
1기,209
2기,161
7기,55
1178만,1
1357만,2
180만,26
100명,568
65세,433
60대,340
시사IN,13
40대,495
50대,432
653개,3
31개,548
610명,9
1부,191
3위,615
471명,23
443명,10
2연패,39
532명,19
2부,284
425명,6
352명,20
527점,4
319점,7
460점,3
1위,1444
9천,190
1전시실,4
2전시실,4
3층,326
1996년,89
10년,1651
479명,9
247명,7
8호,124
2개체,3
1호,501
8개체,2
327호,2
km구간,9
21종,7
536개체,2
13종,12
1석,32
8석,8
4석,13
4선,45
7명,905
21대,83
3선,137
5선,15
890표,1
19~21대,1
3연승,12
59석,5
51석,3
19대,40
8명,873
17~20대,3
2주,715
5곳,695
697표,1
1522표,1
4480표,1
6선,7
3시,527
2018년도,15
35세,12
2일,1435
25만,248
10곳,431
1억,2272
155억,45
4000만,256
28범,2
4개월,418
43분,5
15분,134
19분,49
336억,21
82면,19
116면,2
2배,664
84억,20
125대,4
85억,55
127대,5
29일,1631
9일,1551
20만,616
120여명,22
400만,177
2위,699
718.5점,3
536.3점,3
10위,127
227.7점,3
75개,33
282.8점,3
제2,324
M버스,49
24일,1616
30만,758
40만,202
60면,2
용인청년LAB,47
300회,3
1475가구,7
25층,174
13개,389
184가구,35
48가구,17
192가구,15
145가구,14
180가구,17
207가구,12
164가구,18
134가구,16
221가구,10
GX룸,116
16일,1491
8년,265
300만,400
35대,29
7일,1944
109만,107
A골프장,10
B씨,2699
8번지,36
20년,860
1필지,37
6일,1659
2월,1366
10필지,14
33억,65
82곳,27
4시간,140
1심,425
2심,184
IT체육교실,12
IT기술,14
2300여,11
1200여,19
70억,94
39억,66
15억,334
23분,9
10여개,19
1곳,549
553명,14
3.49대,1
3.5대,3
1.32대,2
1.88대,1
1대,537
50만,790
642억,5
8천,237
512억,9
472억,5
2천,1060
364억,6
382억,12
384억,3
391억,17
100억,378
291억,4
232억,6
646억,3
824억,6
184억,5
368억,1
49억,68
159억,29
318억,7
990억,1
113만,24
383명,3
220명,19
5조,123
연168,1
연422,1
4년,1281
29기,5
12억,427
3015명,8
E형,1
48명,92
24대,32
10가구,49
223명,8
124가구,7
3가구,38
D형,1
514가구,3
302가구,8
485가구,7
787가구,2
3번지,94
32층,33
999가구,19
11억,357
GTX-A용인역,3
273만,15
82만,52
4~5개,15
1~3개,14
GTX-A라인,3
2356가구,1
A형,1
14억,302
18세,525
10월,1986
53개,16
110건,16
22개,158
60건,41
99.17점,2
25개,137
27일,1914
3회,256
6곳,585
태블릿PC,37
32도,6
F팀,69
2002년,144
118만,48
15명,658
8개,591
110만,276
8012명,5
1286명,9
1157명,12
213명,18
181명,23
65명,78
2180명,8
527명,21
386명,46
8454명,7
150만,244
2014년,388
2005년,166
8곳,356
10일,1696
TV조선,42
50킬로와트,1
5기,38
5~6일,4
1인,1219
5시,629
11시,643
KB국민은행,80
3000만,342
330만,14
160만,186
1997년도,1
135만,43
108만,68
9곳,257
Y페이,24
20억,356
30여년,47
4씩,1
500명,315
300명,343
2012년,301
30층,92
2703가구,35
1345가구,17
110가구,52
290가구,11
281가구,10
664가구,8
1358가구,18
274가구,18
294가구,9
170가구,20
620가구,15
1법안,1
