음식,총가격,인원구성,요일 및 시간,날씨
"참치비빔밥, 소고기주먹밥, 만두라면, 쫄면",24000,여(44) 여(22) 남(28) 남(20),2023-09-09 04:35:00,맑음
"날치알주먹밥, 육개장",12000,여(53),2023-10-12 02:09:00,맑음
"날치알주먹밥, 라볶이, 떡라면, 멸치주먹밥, 육개장",26500,여(59) 여(38) 여(15) 여(58) 남(42),2023-04-14 07:08:00,맑음
"비빔국수, 육개장, 참치순두부찌개, 참치김밥",27000,여(53) 여(55) 남(59) 남(38),2024-05-27 22:50:00,흐림
"떡국, 김치만두, 참치주먹밥, 오불덮밥, 멸치주먹밥",27000,남(46) 여(52) 여(28) 여(13),2024-02-06 13:02:00,흐림
"돈까스김밥, 참치와사비김밥, 떡볶이, 소고기주먹밥, 참치찌개",25500,여(42) 남(47) 여(42) 여(18) 여(22),2024-08-15 22:27:00,맑음
"날치알주먹밥, 새우볶음밥",11000,여(22) 남(15),2024-01-09 06:55:00,맑음
"육개장, 군만두, 김치만두, 떡볶이, 소고기주먹밥, 계란말이김밥",30000,남(39) 남(47) 남(22) 남(43) 여(12),2023-11-22 16:19:00,맑음
"육개장, 생선까스, 멸추김밥, 멸추김밥",27500,여(37) 여(25) 여(45) 남(40),2023-07-10 00:41:00,맑음
"참치김밥, 오므라이스, 쫄면",18500,남(22) 여(35),2024-04-27 15:32:00,비
"날치알주먹밥, 부대찌개",12000,여(38),2023-09-17 12:45:00,맑음
"육개장, 우동, 참치덮밥",21500,남(22) 여(60) 여(46),2024-05-02 00:14:00,비
"날치알주먹밥, 참치비빔밥",11500,여(40) 남(19),2023-10-16 23:58:00,맑음
"참치김밥, 멸치주먹밥, 참치순두부찌개",16000,여(41) 남(25),2024-06-07 17:29:00,맑음
"생선까스, 콩국수, 소고기주먹밥",21500,여(30) 여(56) 남(25),2023-05-29 00:51:00,맑음
"참치김밥, 김치찌개, 소고기주먹밥, 된장찌개",22500,남(57) 남(33) 여(46) 여(58),2023-03-12 15:53:00,맑음
"김치볶음밥, 멸치주먹밥, 참치덮밥, 된장찌개, 뚝배기불고기, 제육덮밥",40500,남(13) 여(30) 남(54) 여(57) 남(33),2023-11-30 13:50:00,눈
"콩국수, 만두라면",13500,남(41) 여(59),2023-06-08 10:22:00,흐림
"참치찌개, 육개장, 김치볶음밥, 육개장",30000,남(38) 여(35) 여(35) 여(20),2023-11-17 19:50:00,맑음
"쫄면, 콩국수, 순두부찌개",22000,여(50) 남(53) 남(55),2023-11-15 08:49:00,맑음
"콩국수, 된장찌개, 비빔국수, 떡라면, 육개장, 소고기주먹밥",39500,여(19) 여(57) 남(17) 남(32) 남(49),2023-06-17 00:12:00,흐림
육개장,8000,남(56),2023-03-10 21:27:00,맑음
"오뎅, 소고기김밥, 날치알주먹밥",13500,남(39) 남(14) 여(59),2024-05-10 10:35:00,흐림
오징어덮밥,8000,남(17),2023-07-23 20:04:00,맑음
"부대찌개, 제육덮밥, 참치덮밥, 날치알주먹밥, 얼큰해물우동, 참치김밥",39500,남(46) 남(24) 여(44) 남(17) 남(43),2024-05-23 20:52:00,맑음
"뚝배기불고기, 김치만두, 오므라이스, 날치알주먹밥",23000,남(44) 여(53) 여(35),2024-04-16 00:31:00,맑음
새우볶음밥,7000,여(16),2024-07-22 14:09:00,맑음
"참치주먹밥, 돈까스, 오징어덮밥, 고구마돈까스, 부대찌개, 생선까스",48500,남(10) 여(23) 여(50) 여(17) 여(23),2023-11-10 18:12:00,맑음
"소고기주먹밥, 라면, 날치알주먹밥, 오불덮밥, 떡만두국, 참치덮밥",36000,남(11) 여(60) 남(18) 남(55) 남(29),2024-08-12 04:49:00,맑음
"계란말이김밥, 얼큰해물라면, 날치알주먹밥, 새우볶음밥, 땡초진미김밥",30000,남(39) 남(50) 여(12) 여(12) 남(12),2024-09-10 10:35:00,비
"멸추김밥, 뚝배기불고기, 참치순두부찌개, 참치찌개, 소고기주먹밥",31500,남(40) 여(10) 여(19) 남(27) 남(46),2024-10-02 16:28:00,흐림
"날으는 김밥, 참치비빔밥, 참치비빔밥",18500,남(43) 여(56),2024-06-20 09:22:00,맑음
"참치찌개, 김치볶음밥",14000,여(55) 여(21),2024-02-17 17:49:00,맑음
"부대찌개, 김치찌개, 뚝배기불고기, 돈까스김밥, 제육덮밥",35000,여(17) 여(27) 여(35) 남(28) 여(56),2023-05-05 18:53:00,맑음
"떡만두국, 오불덮밥, 소고기주먹밥, 비빔밥",27000,남(23) 여(57) 남(51) 여(19),2023-07-31 12:15:00,흐림
"계란말이김밥, 참치주먹밥",9500,남(49),2024-06-27 02:55:00,흐림
"순두부찌개, 쫄면, 새우볶음밥, 계란말이김밥, 생선까스, 육개장",44000,남(16) 여(59) 남(58) 남(26) 여(56),2023-09-10 17:05:00,비
"된장찌개, 돈까스김밥, 날치알주먹밥",16000,여(57) 여(29) 남(11),2024-09-10 01:37:00,맑음
"만두라면, 멸치주먹밥, 고기만두, 치즈김밥",18000,여(21) 남(19) 여(40),2023-09-23 21:00:00,비
"김치라면, 땡초진미김밥, 순두부찌개, 육개장",25500,여(28) 남(38) 여(53) 남(12),2023-04-18 01:35:00,맑음
"날으는 김밥, 치즈김밥, 김치찌개, 소고기김밥, 쫄면, 육개장",35000,남(34) 여(14) 남(48) 남(39) 여(29),2024-01-23 11:55:00,흐림
"생선까스, 참치김밥, 김치찌개",21000,남(54) 남(54) 남(36),2024-09-12 11:13:00,맑음
"부대찌개, 멸치주먹밥",12000,여(36),2023-05-19 15:25:00,비
"소고기주먹밥, 얼큰해물우동",12500,여(19),2023-10-03 20:36:00,맑음
"참치덮밥, 치즈김밥",12000,남(21) 남(32),2024-07-24 02:05:00,맑음
"참치찌개, 참치주먹밥, 참치주먹밥, 부대찌개",23000,남(55) 여(33) 남(58) 여(40),2024-09-08 14:00:00,맑음
"순두부찌개, 멸치주먹밥",11000,여(53),2023-03-19 05:49:00,비
"참치덮밥, 오징어덮밥, 참치주먹밥",19500,여(20) 남(22) 남(14),2023-06-13 15:54:00,맑음
"얼큰해물우동, 고구마돈까스, 멸치주먹밥, 소고기주먹밥",26000,남(13) 여(11) 남(50),2024-10-05 05:07:00,맑음
"새우볶음밥, 육개장, 참치주먹밥, 멸치주먹밥, 오뎅",27500,남(11) 남(12) 남(19) 여(35),2024-08-23 20:44:00,흐림
"뚝배기불고기, 오징어덮밥, 고구마돈까스, 라볶이, 제육덮밥",37500,여(60) 남(49) 남(36) 여(41) 여(33),2024-01-03 17:35:00,맑음
"부대찌개, 떡라면, 얼큰해물라면",22000,여(35) 여(59),2023-08-05 17:05:00,흐림
"육개장, 뚝배기불고기, 멸추김밥, 날치알주먹밥, 오징어덮밥",33000,여(11) 여(50) 여(21) 여(25),2024-04-18 10:56:00,비
"멸치주먹밥, 오므라이스, 콩국수, 치즈라면, 참치비빔밥, 참치와사비김밥",37000,여(40) 남(59) 남(19) 남(10) 남(49),2023-06-09 04:09:00,맑음
"계란말이김밥, 비빔국수, 얼큰해물라면",21000,남(55) 남(47) 여(40),2023-11-14 12:06:00,맑음
"참치비빔밥, 치즈라볶이, 소고기주먹밥, 떡볶이, 얼큰해물라면",30500,여(31) 남(52) 남(12) 남(11),2023-07-26 12:48:00,맑음
뚝배기불고기,8000,남(48),2023-09-09 21:22:00,맑음
"돈까스김밥, 참치와사비김밥, 돈까스, 참치찌개",26500,여(58) 여(58) 여(30),2023-04-01 07:52:00,눈
제육덮밥,7000,여(17),2024-10-07 01:48:00,맑음
"육개장, 멸치주먹밥, 고구마돈까스, 참치순두부찌개",29000,여(55) 남(17) 여(59),2023-05-26 14:43:00,맑음
뚝배기불고기,8000,남(45),2024-04-14 06:42:00,맑음
"순두부찌개, 돈까스김밥, 계란말이김밥, 참치주먹밥",21500,여(17) 여(32) 여(54),2024-06-19 09:36:00,맑음
"떡볶이, 된장찌개",11500,남(58) 여(35),2023-09-16 08:46:00,비
"소고기주먹밥, 참치비빔밥, 참치주먹밥, 만두국, 김치찌개",29500,남(51) 남(39) 여(26) 여(33),2023-05-27 12:34:00,맑음
"김치볶음밥, 참치비빔밥, 소고기주먹밥, 순두부찌개",25500,남(10) 여(52) 남(15),2024-02-09 14:21:00,맑음
"멸치주먹밥, 된장찌개",11000,여(31),2024-02-09 18:24:00,맑음
"멸치주먹밥, 오징어덮밥, 비빔국수",19000,여(47) 여(41) 여(59),2024-09-03 05:05:00,맑음
"치즈돈까스, 라면, 참치주먹밥, 떡만두국",26000,여(11) 여(23) 남(22) 남(57),2023-09-09 21:26:00,맑음
"오므라이스, 새우볶음밥",14000,남(30),2024-02-26 06:52:00,맑음
"육개장, 돈까스, 치즈라면, 얼큰해물라면",31500,남(19) 남(34) 여(60),2023-07-17 06:33:00,비
"날으는 김밥, 오징어덮밥",11500,남(15) 여(42),2024-04-30 14:50:00,흐림
"날치알김밥, 치즈떡볶이, 순두부찌개, 뚝배기불고기",25500,여(57) 여(54) 여(34) 여(27),2023-05-06 20:07:00,맑음
"소고기주먹밥, 만두국, 떡만두국, 참치주먹밥, 날치알김밥",28000,남(30) 남(49) 여(40) 남(38) 남(25),2024-06-03 12:40:00,맑음
"치즈돈까스, 새우튀김김밥, 돈까스, 참치순두부찌개",31500,여(38) 여(40) 남(34) 남(56),2024-03-29 15:53:00,맑음
"떡라면, 날으는 김밥",9000,여(35) 남(38),2023-10-20 10:39:00,비
된장찌개,7000,남(22),2023-09-18 10:38:00,맑음
"소고기주먹밥, 참치주먹밥",8000,여(18),2024-05-22 02:32:00,비
"오므라이스, 치즈김밥, 오징어덮밥, 새우튀김김밥, 치즈떡볶이, 멸추김밥",35000,여(28) 여(30) 여(36) 남(45) 남(14),2023-05-15 18:12:00,비
"참치주먹밥, 참치순두부찌개",11500,여(11),2024-05-01 16:09:00,맑음
"소고기김밥, 콩국수, 콩국수, 날치알주먹밥, 김치라면, 순두부찌개",37500,여(60) 여(34) 남(19) 남(47) 여(44),2024-02-05 13:37:00,흐림
"오징어덮밥, 소고기주먹밥",12000,남(20) 남(18),2023-04-04 17:11:00,맑음
"김치라면, 고구마돈까스",15000,여(51) 여(44),2023-05-02 11:12:00,맑음
"된장찌개, 참치주먹밥, 참치순두부찌개, 생선까스, 멸치주먹밥",32000,남(20) 여(50) 남(21) 남(30),2023-04-28 19:49:00,맑음
"고구마돈까스, 육개장, 김치볶음밥, 멸치주먹밥",28500,여(13) 남(41) 남(28) 남(36),2024-06-09 19:59:00,비
"치즈라면, 제육덮밥",12500,여(21),2024-01-25 01:57:00,맑음
"날치알김밥, 참치주먹밥",9000,여(21),2023-11-03 17:38:00,맑음
"오불덮밥, 치즈김밥, 계란말이김밥, 오징어덮밥",26000,여(36) 남(58) 여(24) 남(14),2023-05-29 15:41:00,비
"떡볶이, 떡만두국, 소고기주먹밥, 참치순두부찌개",24000,남(44) 남(39) 여(45),2023-05-31 02:58:00,맑음
"돈까스김밥, 치즈김밥, 비빔국수",16500,여(32) 여(40) 여(22),2023-12-15 01:52:00,맑음
